Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C22, C23, C24, C25, C26, C29, C32, C33, C34, C35, C36, C39, C4, C42, C43, C44, C46, C5, C51, C52, C6, C7",0603,24,100nF,
"C10, C11, C12, C2, C27, C3, C30, C8",0402,8,100nF,
C117,0402,1,2.2uF,
C13,0603,1,0.33uF,
C15,0603,1,4.7uF,
"C16, C18",0603,2,0.1uF,
"C17, C19",0603,2,10nF,
C20,0603,1,33nF,
"C21, C48",0603,2,300pF,
"C28, C31, C40, C41, C49, C50, C9",0603,7,10uF,
"C37, C38, C45, C47, C53, C54",0603,6,22uF,
C55,0603,1,470pF,
D1,D_SMB,1,SMBJ26CA,
"D10, D11, D12, D13, D8",0603,5,BLUE_LED,
"D14, D15, D16, D17, D6, D9",D_SOD-882,6,3.9V,
D2,0603,1,RED_LED,
D3,0603,1,GREEN_LED,
"D4, D5",D_SMA,2,SS34,
D7,0603,1,YELLOW_LED,
J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,POWER,
J10,TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal,1,Conn_01x06_Socket,
J2,HX PZ2.54-3x8P ZZ 3x08 2.54mm THT header,1,2.54mm 3x08 header,
J4,XDCR_SMT-0540-S-R,1,ALARM,
J5,PinHeader_2x05_P1.27mm_Vertical_SMD,1,SWD,
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A,
J9,SAMTEC_HTSW-109-08-T-T-RA,1,HTSW-109-08-T-T-RA,
"L2, L3, L4",IND_VLS6045EX-6R8M,3,6.8uH,
"Q1, Q2, Q4, Q5, Q6",TSOT-23,5,Q_NMOS_GSD,
"R1, R21, R94, R98",0603,4,33k,
"R10, R16, R17, R44, R48, R56, R57, R9",0603,8,470,
R11,0603,1,10,
"R12, R22, R59",0603,3,80k,
"R13, R58, R8",0603,3,200k,
"R14, R18, R3, R32, R45, R46, R49, R5, R50, R53, R7",0603,11,10k,
"R15, R6",0603,2,100,
"R19, R4, R96, R97",0603,4,1k,
"R2, R40, R41, R42, R47, R52, R55",0603,7,100k,
R20,0603,1,82k,
"R23, R26, R28, R29, R31, R33",0402,6,1K,
"R24, R25",0603,2,5k1,
"R27, R30",0402,2,4k7,
R34,0603,1,165R,
R35,0603,1,2k,
R36,0402,1,10K,
R37,0402,1,100,
"R38, R39, R54",0402,3,22R,
"R43, R51",0603,2,90.9k,
R60,0603,1,9.09k,
R61,0603,1,51k,
U1,QSOP-16_3.9x4.9mm_P0.635mm,1,MAX11614,
U11,LQFP-64_10x10mm_P0.5mm,1,STM32F105RCT6,
"U12, U13, U5",SOT583_MP2338_MNP,3,MP2338GTL-Z,
U3,ublox_SAM-M8Q,1,SAM-M8Q-0,
U33,SOT-89-3,1,AS78L05RTR,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,INA126,
U46,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25N01GVZEIG TR,
U6,BMI088,1,BMI088,
U7,MS5607-02BA,1,MS5607-02BA03,
U8,BMM350,1,BMM350,
U9,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,16MHz,
