Designator,Mid X,Mid Y,Rotation,Layer
C1,36.3,48.7,270.0,bottom
C10,50.875,14.8,90.0,bottom
C11,47.9,25.05,0.0,bottom
C117,26.85,46.42,90.0,bottom
C12,51.775,10.65,180.0,bottom
C13,46.725,9.0,0.0,bottom
C14,24.82,30.305,270.0,bottom
C15,11.2,3.925,270.0,bottom
C16,49.8,9.0,180.0,bottom
C17,55.525,6.45,180.0,bottom
C18,42.13,23.85,270.0,bottom
C19,55.525,12.525,0.0,bottom
C2,50.0,26.5,0.0,bottom
C20,55.525,9.425,0.0,bottom
C21,22.75,46.75,0.0,bottom
C22,30.5,27.05,270.0,top
C23,30.5,30.5,90.0,top
C24,42.475,37.025,0.0,top
C25,44.25,26.55,0.0,bottom
C26,18.65,39.0875,90.0,bottom
C27,28.85,47.88,90.0,bottom
C28,17.025,39.075,90.0,bottom
C29,53.625,46.61,90.0,bottom
C3,51.37,25.42,0.0,bottom
C30,27.85,43.82,270.0,bottom
C31,20.3,39.075,90.0,bottom
C32,52.4,40.15,0.0,bottom
C33,33.42,33.27,0.0,bottom
C34,49.44,32.52,90.0,bottom
C35,20.5,45.75,270.0,top
C36,19.05,44.4625,180.0,bottom
C37,12.375001,48.8625,180.0,bottom
C38,15.925,48.8625,0.0,bottom
C39,15.8,35.9375,270.0,bottom
C4,41.425,48.4,90.0,bottom
C40,17.4125,35.9375,270.0,bottom
C41,14.2,35.9375,270.0,bottom
C42,30.8,1.9,0.0,bottom
C43,19.625,36.0,180.0,top
C44,21.55,33.95,180.0,bottom
C45,22.224999,26.1875,0.0,bottom
C46,19.25,11.35,90.0,bottom
C47,18.675,26.1875,180.0,bottom
C48,11.85,28.575,180.0,bottom
C49,17.6,11.35,90.0,bottom
C5,33.5,48.5,0.0,bottom
C50,20.871995,11.35,90.0,bottom
C51,16.95,11.35,0.0,top
C52,20.7,16.75,180.0,bottom
C53,10.7,22.2,180.0,bottom
C54,22.5,21.4,0.0,bottom
C55,24.271995,18.95,0.0,bottom
C6,33.4,45.8,90.0,bottom
C7,47.9,43.5,180.0,bottom
C8,53.8,24.3,0.0,bottom
C9,41.76,3.775,270.0,top
D1,15.55,16.0,270.0,top
D10,19.6875,48.0,180.0,top
D11,23.0,49.25,0.0,bottom
D12,25.525,24.6,0.0,bottom
D13,25.525,23.0,0.0,bottom
D14,53.12,25.7325,90.0,bottom
D15,51.525,13.15,0.0,bottom
D16,48.05,23.8,0.0,bottom
D17,51.65,11.775,180.0,bottom
D2,39.2,5.0875,270.0,top
D3,37.31,5.0875,270.0,top
D4,4.5,12.9,0.0,bottom
D5,4.45,17.55,0.0,bottom
D6,49.9,27.7,0.0,bottom
D7,35.41,5.0875,270.0,top
D8,33.51,5.0875,270.0,top
D9,51.5,24.2,180.0,bottom
J1,8.075,15.5,90.0,top
J10,61.5,40.77,270.0,top
J2,60.66,26.12,0.0,top
J3,49.35,4.2,180.0,top
J4,37.75,24.15,0.0,bottom
J5,28.8,4.5,90.0,top
J7,18.65,3.685,0.0,top
J9,6.61,36.9,270.0,top
L2,14.15,44.65,90.0,bottom
L3,16.65,30.7,270.0,bottom
L4,15.8,18.8,90.0,bottom
Q1,51.95,34.765,270.0,bottom
Q2,56.7,37.6,0.0,bottom
Q4,59.6925,30.1,270.0,bottom
Q5,56.0425,30.05,270.0,bottom
Q6,32.31,23.3,0.0,bottom
R1,57.6,48.6,0.0,bottom
R10,37.31,1.8,90.0,top
R11,63.6,43.4,90.0,bottom
R12,20.83,40.25,90.0,top
R13,16.14,35.7,0.0,top
R14,63.0675,30.21,180.0,bottom
R15,63.0675,28.51,0.0,bottom
R16,35.41,1.8,90.0,top
R17,33.51,1.775,90.0,top
R18,63.0675,31.96,180.0,bottom
R19,53.4,30.55,90.0,bottom
R2,42.7,1.0,0.0,top
R20,11.2,3.9,270.0,top
R21,9.3,3.9,270.0,top
R22,15.97,33.15,0.0,top
R23,50.8,28.9,0.0,bottom
R24,14.05,4.7,180.0,bottom
R25,16.4,2.35,90.0,bottom
R26,51.85,26.9,270.0,bottom
R27,30.15,44.9,90.0,bottom
R28,54.71,25.39,0.0,bottom
R29,51.875,14.75,270.0,bottom
R3,57.6,46.6,180.0,bottom
R30,30.15,46.91,270.0,bottom
R31,48.6,26.56,270.0,bottom
R32,22.75,43.3,0.0,bottom
R33,52.225,9.25,90.0,bottom
R34,63.9,30.21,270.0,top
R35,44.45,23.79,180.0,bottom
R36,36.75,28.0,90.0,bottom
R37,35.65,28.0,270.0,bottom
R38,31.5,38.55,0.0,bottom
R39,31.5,39.5,0.0,bottom
R4,52.8,37.9,0.0,bottom
R40,39.94,28.8,270.0,bottom
R41,55.6,40.15,180.0,bottom
R42,51.925,46.61,90.0,bottom
R43,22.75,45.05,180.0,bottom
R44,17.1,46.625,270.0,top
R45,39.0,37.0,0.0,top
R46,22.75,41.5625,180.0,bottom
R47,18.65,46.862499,90.0,bottom
R48,19.675,49.25,180.0,bottom
R49,24.271995,13.85,180.0,bottom
R5,58.3,34.3,270.0,bottom
R50,11.85,31.85,0.0,bottom
R51,11.85,30.2,0.0,bottom
R52,23.7,27.85,0.0,bottom
R53,11.85,33.4875,0.0,bottom
R54,31.5,40.45,0.0,bottom
R55,20.7,18.4,180.0,bottom
R56,22.2,24.6,180.0,bottom
R57,22.2,23.0,180.0,bottom
R58,23.571995,11.35,270.0,bottom
R59,25.271995,11.35,90.0,bottom
R6,54.9,34.3,270.0,bottom
R60,24.271995,15.55,0.0,bottom
R61,24.271995,17.24,180.0,bottom
R7,56.6,34.3,270.0,bottom
R8,19.35,40.25,90.0,top
R9,39.21,1.8,90.0,top
R94,55.575,4.9,180.0,bottom
R96,55.525,10.9,180.0,bottom
R97,55.525,7.95,0.0,bottom
R98,55.55,14.025,0.0,bottom
U1,47.7,19.2525,270.0,bottom
U10,32.55,27.95,0.0,top
U11,39.575,39.875,180.0,bottom
U12,21.6507,31.75,180.0,bottom
U13,20.510195,14.500001,180.0,bottom
U2,36.8,12.1,270.0,bottom
U3,39.75,27.775,0.0,top
U33,47.5125,12.05,90.0,bottom
U4,53.2,19.825,0.0,bottom
U46,26.725,36.21,270.0,bottom
U5,18.9882,42.212501,180.0,bottom
U6,52.9,42.8,90.0,bottom
U7,43.925,29.2,90.0,bottom
U8,28.45,45.9,90.0,bottom
U9,19.15,3.6,90.0,bottom
Y1,38.7,48.475,270.0,bottom
